date,year,country,value,indicator
2015-01-01,2015,United States,0.12,"Inflation (annual avg, %)"
2015-01-01,2015,Euro Area,0.03,"Inflation (annual avg, %)"
2016-01-01,2016,Canada,1.43,"Inflation (annual avg, %)"
2016-01-01,2016,France,0.18,"Inflation (annual avg, %)"
2016-01-01,2016,Germany,0.49,"Inflation (annual avg, %)"
2016-01-01,2016,Italy,-0.09,"Inflation (annual avg, %)"
2016-01-01,2016,Japan,-0.13,"Inflation (annual avg, %)"
2016-01-01,2016,United Kingdom,1.01,"Inflation (annual avg, %)"
2016-01-01,2016,United States,1.26,"Inflation (annual avg, %)"
2016-01-01,2016,Euro Area,0.23,"Inflation (annual avg, %)"
2017-01-01,2017,Canada,1.6,"Inflation (annual avg, %)"
2017-01-01,2017,France,1.03,"Inflation (annual avg, %)"
2017-01-01,2017,Germany,1.51,"Inflation (annual avg, %)"
2017-01-01,2017,Italy,1.23,"Inflation (annual avg, %)"
2017-01-01,2017,Japan,0.48,"Inflation (annual avg, %)"
2017-01-01,2017,United Kingdom,2.56,"Inflation (annual avg, %)"
2017-01-01,2017,United States,2.13,"Inflation (annual avg, %)"
2017-01-01,2017,Euro Area,1.54,"Inflation (annual avg, %)"
2018-01-01,2018,Canada,2.27,"Inflation (annual avg, %)"
2018-01-01,2018,France,1.85,"Inflation (annual avg, %)"
2018-01-01,2018,Germany,1.73,"Inflation (annual avg, %)"
2018-01-01,2018,Italy,1.14,"Inflation (annual avg, %)"
2018-01-01,2018,Japan,0.99,"Inflation (annual avg, %)"
2018-01-01,2018,United Kingdom,2.29,"Inflation (annual avg, %)"
2018-01-01,2018,United States,2.44,"Inflation (annual avg, %)"
2018-01-01,2018,Euro Area,1.75,"Inflation (annual avg, %)"
2019-01-01,2019,Canada,1.95,"Inflation (annual avg, %)"
2019-01-01,2019,France,1.11,"Inflation (annual avg, %)"
2019-01-01,2019,Germany,1.45,"Inflation (annual avg, %)"
2019-01-01,2019,Italy,0.61,"Inflation (annual avg, %)"
2019-01-01,2019,Japan,0.47,"Inflation (annual avg, %)"
2019-01-01,2019,United Kingdom,1.74,"Inflation (annual avg, %)"
2019-01-01,2019,United States,1.81,"Inflation (annual avg, %)"
2019-01-01,2019,Euro Area,1.2,"Inflation (annual avg, %)"
2020-01-01,2020,Canada,0.72,"Inflation (annual avg, %)"
2020-01-01,2020,France,0.48,"Inflation (annual avg, %)"
2020-01-01,2020,Germany,0.15,"Inflation (annual avg, %)"
2020-01-01,2020,Italy,-0.14,"Inflation (annual avg, %)"
2020-01-01,2020,Japan,-0.02,"Inflation (annual avg, %)"
2020-01-01,2020,United Kingdom,0.99,"Inflation (annual avg, %)"
2020-01-01,2020,United States,1.24,"Inflation (annual avg, %)"
2020-01-01,2020,Euro Area,0.26,"Inflation (annual avg, %)"
2021-01-01,2021,Canada,3.39,"Inflation (annual avg, %)"
2021-01-01,2021,France,1.64,"Inflation (annual avg, %)"
2021-01-01,2021,Germany,3.07,"Inflation (annual avg, %)"
2021-01-01,2021,Italy,1.88,"Inflation (annual avg, %)"
2021-01-01,2021,Japan,-0.23,"Inflation (annual avg, %)"
2021-01-01,2021,United Kingdom,2.52,"Inflation (annual avg, %)"
2021-01-01,2021,United States,4.69,"Inflation (annual avg, %)"
2021-01-01,2021,Euro Area,2.59,"Inflation (annual avg, %)"
2022-01-01,2022,Canada,6.8,"Inflation (annual avg, %)"
2022-01-01,2022,France,5.22,"Inflation (annual avg, %)"
2022-01-01,2022,Germany,6.86,"Inflation (annual avg, %)"
2022-01-01,2022,Italy,8.18,"Inflation (annual avg, %)"
2022-01-01,2022,Japan,2.5,"Inflation (annual avg, %)"
2022-01-01,2022,United Kingdom,7.9,"Inflation (annual avg, %)"
2022-01-01,2022,United States,8.01,"Inflation (annual avg, %)"
2022-01-01,2022,Euro Area,8.38,"Inflation (annual avg, %)"
2023-01-01,2023,Canada,3.89,"Inflation (annual avg, %)"
2023-01-01,2023,France,4.89,"Inflation (annual avg, %)"
2023-01-01,2023,Germany,5.99,"Inflation (annual avg, %)"
2023-01-01,2023,Italy,5.72,"Inflation (annual avg, %)"
2023-01-01,2023,Japan,3.27,"Inflation (annual avg, %)"
2023-01-01,2023,United Kingdom,6.84,"Inflation (annual avg, %)"
2023-01-01,2023,United States,4.14,"Inflation (annual avg, %)"
2023-01-01,2023,Euro Area,5.48,"Inflation (annual avg, %)"
2024-01-01,2024,Canada,2.39,"Inflation (annual avg, %)"
2024-01-01,2024,France,2.0,"Inflation (annual avg, %)"
2024-01-01,2024,Germany,2.26,"Inflation (annual avg, %)"
2024-01-01,2024,Italy,0.98,"Inflation (annual avg, %)"
2024-01-01,2024,Japan,2.74,"Inflation (annual avg, %)"
2024-01-01,2024,United Kingdom,3.28,"Inflation (annual avg, %)"
2024-01-01,2024,United States,2.95,"Inflation (annual avg, %)"
2024-01-01,2024,Euro Area,2.37,"Inflation (annual avg, %)"
2025-01-01,2025,Canada,2.07,"Inflation (annual avg, %)"
2025-01-01,2025,France,0.94,"Inflation (annual avg, %)"
2025-01-01,2025,Germany,2.17,"Inflation (annual avg, %)"
2025-01-01,2025,Italy,1.53,"Inflation (annual avg, %)"
2025-01-01,2025,Japan,3.18,"Inflation (annual avg, %)"
2025-01-01,2025,United Kingdom,3.88,"Inflation (annual avg, %)"
2025-01-01,2025,United States,2.69,"Inflation (annual avg, %)"
2025-01-01,2025,Euro Area,2.13,"Inflation (annual avg, %)"
2025-01-01,2025,United States,3.75,"Policy rate (current, %)"
2025-01-01,2025,Australia,3.85,"Policy rate (current, %)"
2025-01-01,2025,United Kingdom,3.75,"Policy rate (current, %)"
2025-01-01,2025,Canada,2.25,"Policy rate (current, %)"
2025-01-01,2025,Euro Area,2.15,"Policy rate (current, %)"
2025-01-01,2025,Japan,0.75,"Policy rate (current, %)"
2025-01-01,2025,France,2.15,"Policy rate (current, %)"
2025-01-01,2025,Germany,2.15,"Policy rate (current, %)"
2025-01-01,2025,Italy,2.15,"Policy rate (current, %)"
